polarity,id,date,query,user,tweet,predicted_polarity,cleaned_text
4,3,Mon May 11 03:17:40 UTC 2009,kindle2,tpryan,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",4,stellargirl loooooooovvvvvveee kindle dx cool fantastic right
4,4,Mon May 11 03:18:03 UTC 2009,kindle2,vcu451,Reading my kindle2...  Love it... Lee childs is good read.,4,reading kindle love lee childs good read
4,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",4,ok first assesment kindle fucking rocks
4,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),0,kenburbary love kindle mine months never looked back new big one huge need remorse
4,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),4,mikefish fair enough kindle think perfect
4,8,Mon May 11 03:22:00 UTC 2009,kindle2,GeorgeVHulme,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,4,richardebaker big quite happy kindle
0,9,Mon May 11 03:22:30 UTC 2009,aig,Seth937,Fuck this economy. I hate aig and their non loan given asses.,0,fuck economy hate aig non loan given asses
4,10,Mon May 11 03:26:10 UTC 2009,jquery,dcostalis,Jquery is my new best friend.,4,jquery new best friend
4,11,Mon May 11 03:27:15 UTC 2009,twitter,PJ_King,Loves twitter,4,loves twitter
4,12,Mon May 11 03:29:20 UTC 2009,obama,mandanicole,how can you not love Obama? he makes jokes about himself.,4,love obama makes jokes
2,13,Mon May 11 03:32:42 UTC 2009,obama,jpeb,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,4,check video president obama white house correspondents dinner http bit ly imxum
0,14,Mon May 11 03:32:48 UTC 2009,obama,kylesellers,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0,karoli firmly believe obama pelosi zero desire civil charade slogan want destroy conservatism
4,15,Mon May 11 03:33:38 UTC 2009,obama,theviewfans,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",0,house correspondents dinner last night whoopi barbara sherri went obama got standing ovation
4,16,Mon May 11 05:05:58 UTC 2009,nike,MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,4,watchin espn jus seen new nike commerical puppet lebron sh hilarious lmao
0,17,Mon May 11 05:06:22 UTC 2009,nike,vincentx24x,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",0,dear nike stop flywire shit waste science ugly love vincentx x
4,18,Mon May 11 05:20:15 UTC 2009,lebron,cameronwylie,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",4,lebron best athlete generation time basketball related want get inter sport debates
0,19,Mon May 11 05:20:28 UTC 2009,lebron,luv8242,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,0,talking guy last night telling die hard spurs fan also told hates lebron james
4,20,Mon May 11 05:21:04 UTC 2009,lebron,mtgillikin,i love lebron. http://bit.ly/PdHur,4,love lebron http bit ly pdhur
0,21,Mon May 11 05:21:37 UTC 2009,lebron,ursecretdezire,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0,ludajuice lebron beast still cheering til end
4,22,Mon May 11 05:21:45 UTC 2009,lebron,Native_01,@Pmillzz lebron IS THE BOSS,4,pmillzz lebron boss
4,23,Mon May 11 05:22:03 UTC 2009,lebron,princezzcutz,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",4,sketchbug lebron hometown hero lol love lakers let go cavs lol
4,24,Mon May 11 05:22:12 UTC 2009,lebron,peterlikewhat,lebron and zydrunas are such an awesome duo,4,lebron zydrunas awesome duo
4,25,Mon May 11 05:22:37 UTC 2009,lebron,emceet,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,0,wordwhizkid lebron beast nobody nba comes even close
4,26,Mon May 11 06:02:24 UTC 2009,iphone app,CocoSavanna,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,4,downloading apps iphone much fun literally app anything
4,33,Mon May 11 19:47:29 UTC 2009,visa,DreambigRadio,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",0,good news call visa office saying everything fine relief sick scams stealing
4,34,Mon May 11 19:49:21 UTC 2009,fredwilson,andrewwatson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),4,http twurl nl epkr b awesome come back biz via fredwilson
4,35,Mon May 11 19:50:07 UTC 2009,fredwilson,fredwilson,In montreal for a long weekend of R&amp;R. Much needed.,4,montreal long weekend r r much needed
4,46,Thu May 14 02:58:07 UTC 2009,"""booz allen""",JoeSchueller,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,4,booz allen hamilton bad ass homegrown social collaboration platform way cool ttiv
4,47,Thu May 14 02:58:23 UTC 2009,"""booz allen""",scottabel,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,4,mluc customer innovation award winner booz allen hamilton http ping fm c hpp
4,49,Thu May 14 05:24:50 UTC 2009,40d,JustMe_D,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",0,sochi current use nikon love much canon chose video feature mistake
2,50,Thu May 14 05:25:04 UTC 2009,40d,hiteshbagai,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,4,need suggestions good ir filter canon got pls dm
2,117,Sat May 16 16:18:36 UTC 2009,google,Annimallover,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,4,surfit checked google business blip shows second entry huh good ba http blip fm emhv
4,118,Sat May 16 16:19:04 UTC 2009,google,J_Holl,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",4,phyreman google always good place look mentioned worked mustang w dad kimblet
0,119,Sat May 16 16:19:24 UTC 2009,google,vamsmack,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,0,played android google phone slide screen scares would break fucker fast still prefer iphone
0,120,Sat May 16 16:25:41 UTC 2009,aig,schroncd,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,0,us planning resume military tribunals guantanamo bay time trial aig execs chrysler debt holders
0,121,Sat May 16 22:42:07 UTC 2009,itchy,MarissaLeeD,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,omg bored tattoooos itchy help aha
0,122,Sat May 16 22:42:25 UTC 2009,itchy,robloposky,I'm itchy and miserable!,0,itchy miserable
0,123,Sat May 16 22:42:44 UTC 2009,itchy,EdwinLValencia,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0,sekseemess itchy maybe later lol
4,124,Sat May 16 23:48:15 UTC 2009,stanford,imusicmash,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,0,rt jessverr love nerdy stanford human biology videos makes miss school http bit ly nr
4,125,Sat May 16 23:58:34 UTC 2009,lyx,drewloewe,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",4,spinuzzi bit crazy steep learning curve lyx really good long docs anything shorter would insane
4,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",4,listening p danny gokey aww amazing much
4,132,Sun May 17 17:27:45 UTC 2009,sleep,babblyabbie,is going to sleep then on a bike ride:],4,going sleep bike ride
0,133,Sun May 17 17:27:49 UTC 2009,sleep,kisjoaquin,cant sleep... my tooth is aching.,0,cant sleep tooth aching
0,134,Sun May 17 17:28:02 UTC 2009,sleep,Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",0,blah blah blah old old plans today going back sleep guess
0,135,Sun May 17 17:29:50 UTC 2009,san francisco,Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",0,glad didnt bay breakers today freaking degrees san francisco wtf
2,136,Sun May 17 17:30:19 UTC 2009,san francisco,sulu34,is in San Francisco at Bay to Breakers.,4,san francisco bay breakers
2,137,Sun May 17 17:30:23 UTC 2009,san francisco,schuyler,just landed at San Francisco,4,landed san francisco
2,138,Sun May 17 17:30:56 UTC 2009,san francisco,MattBragoni,San Francisco today.  Any suggestions?,4,san francisco today suggestions
0,139,Sun May 17 17:32:00 UTC 2009,aig,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,4,obama administration must stop bonuses aig ponzi schemers http bit ly cuig
0,140,Sun May 17 17:32:30 UTC 2009,aig,aMild,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,0,started think citi really deep gonna survive turmoil gonna next aig
0,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,ShaunWoo hate'n on AiG,0,shaunwoo hate n aig
4,142,Sun May 17 17:35:17 UTC 2009,star trek,mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,4,yarnthing regret going see star trek awesome
2,143,Sun May 17 17:35:28 UTC 2009,star trek,GeeRen,On my way to see Star Trek @ The Esquire.,4,way see star trek esquire
2,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,Going to see star trek soon with my dad.,4,going see star trek soon dad
0,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,annoying new trend internets people picking apart michael lewis malcolm gladwell nobody wants read
2,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,4,bill simmons conversation malcolm gladwell http bit ly j
4,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,4,highly recommend http tinyurl com howdavidbeatsgoliath malcolm gladwell
4,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,livreal,Blink by malcolm gladwell amazing book and The tipping point!,4,blink malcolm gladwell amazing book tipping point
4,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,Malcolm Gladwell might be my new man crush,4,malcolm gladwell might new man crush
0,150,Mon May 18 01:18:03 UTC 2009,espn,wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.,0,omg commercials alone espn going drive nuts
4,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,4,robmalon playing twitter api sounds fun may need take class find new friend like generate results api code
2,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""",cURLTesting,playing with cURL and the Twitter API,4,playing curl twitter api
4,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,Hello Twitter API ;),4,hello twitter api
2,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""",danserfaty,playing with Java and the Twitter API,4,playing java twitter api
0,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""",raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.,4,morind twitter api slow client good
0,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,yahoo answers can be a butt sometimes,4,yahoo answers butt sometimes
4,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,rachelbegins,is scrapbooking with Nic =D,4,scrapbooking nic
4,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,4,rt mashable five things wolfram alpha better vastly different google http bit ly nsnr
4,173,Wed May 20 02:37:09 UTC 2009,nike,sportsgirl505,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,4,changed default pic nike basketball cause bball awesome
2,174,Wed May 20 02:38:27 UTC 2009,nike,MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",4,nike owns nba playoffs ads w lebron kobe carmelo http ow ly uiy adidas billups howard marketing branding
2,175,Wed May 20 02:38:45 UTC 2009,nike,cadburysgirl,"Next time, I'll call myself Nike'",4,next time call nike
2,176,Wed May 20 02:38:50 UTC 2009,nike,AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,4,new blog post nike sb dunk low premium white gum http tr im lott
0,177,Wed May 20 02:39:05 UTC 2009,nike,coreysmbpro,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,4,rt smartchickpdx told nike layoffs started today
4,178,Wed May 20 02:39:28 UTC 2009,nike,PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :),4,back worked nike one fav word
4,179,Wed May 20 02:40:23 UTC 2009,nike,ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",4,way totally inspired freaky nike commercial http snurl com icgj
2,192,Sat May 23 20:43:22 UTC 2009,weka,nikete,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",0,giving weka app engine interface using bird strike data tests logo given
